Regional Member,Year,GDP Growth,Unit of Measurement,Subregion,Country Code,Source
Republic of Korea,2019,2.0,%,East Asia,KOR,Asian Development Outlook (ADO) 2020 Update (September 2020)
Republic of Korea,2020 forecast,-1.0,%,East Asia,KOR,Asian Development Outlook (ADO) 2020 Update (September 2020)
Republic of Korea,2021 forecast,3.3,%,East Asia,KOR,Asian Development Outlook (ADO) 2020 Update (September 2020)
Samoa,2018,-2.1,%,The Pacific,WSM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Samoa,2019,3.5,%,The Pacific,WSM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Samoa,2020 forecast,-5.0,%,The Pacific,WSM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Samoa,2021 forecast,-9.7,%,The Pacific,WSM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Singapore,2018,3.4,%,Southeast Asia,SGP,Asian Development Outlook (ADO) 2020 Update (September 2020)
Singapore,2019,0.7,%,Southeast Asia,SGP,Asian Development Outlook (ADO) 2020 Update (September 2020)
Singapore,2020 forecast,-6.2,%,Southeast Asia,SGP,Asian Development Outlook (ADO) 2020 Update (September 2020)
Singapore,2021 forecast,4.5,%,Southeast Asia,SGP,Asian Development Outlook (ADO) 2020 Update (September 2020)
Solomon Islands,2018,3.3,%,The Pacific,SLB,Asian Development Outlook (ADO) 2020 Update (September 2020)
Solomon Islands,2019,1.2,%,The Pacific,SLB,Asian Development Outlook (ADO) 2020 Update (September 2020)
Solomon Islands,2020 forecast,-6.0,%,The Pacific,SLB,Asian Development Outlook (ADO) 2020 Update (September 2020)
Solomon Islands,2021 forecast,1.0,%,The Pacific,SLB,Asian Development Outlook (ADO) 2020 Update (September 2020)
South Asia,2018,6.1,%,South Asia,,Asian Development Outlook (ADO) 2020 Update (September 2020)
South Asia,2019,4.3,%,South Asia,,Asian Development Outlook (ADO) 2020 Update (September 2020)
South Asia,2020 forecast,-6.8,%,South Asia,,Asian Development Outlook (ADO) 2020 Update (September 2020)
South Asia,2021 forecast,7.1,%,South Asia,,Asian Development Outlook (ADO) 2020 Update (September 2020)
Southeast Asia,2018,5.1,%,Southeast Asia,,Asian Development Outlook (ADO) 2020 Update (September 2020)
Southeast Asia,2019,4.4,%,Southeast Asia,,Asian Development Outlook (ADO) 2020 Update (September 2020)
Southeast Asia,2020 forecast,-3.8,%,Southeast Asia,,Asian Development Outlook (ADO) 2020 Update (September 2020)
Southeast Asia,2021 forecast,5.5,%,Southeast Asia,,Asian Development Outlook (ADO) 2020 Update (September 2020)
Sri Lanka,2018,3.3,%,South Asia,LKA,Asian Development Outlook (ADO) 2020 Update (September 2020)
Sri Lanka,2019,2.3,%,South Asia,LKA,Asian Development Outlook (ADO) 2020 Update (September 2020)
Sri Lanka,2020 forecast,-5.5,%,South Asia,LKA,Asian Development Outlook (ADO) 2020 Update (September 2020)
Sri Lanka,2021 forecast,4.1,%,South Asia,LKA,Asian Development Outlook (ADO) 2020 Update (September 2020)
"Taipei,China",2018,2.7,%,East Asia,TWN,Asian Development Outlook (ADO) 2020 Update (September 2020)
"Taipei,China",2019,2.7,%,East Asia,TWN,Asian Development Outlook (ADO) 2020 Update (September 2020)
"Taipei,China",2020 forecast,0.8,%,East Asia,TWN,Asian Development Outlook (ADO) 2020 Update (September 2020)
"Taipei,China",2021 forecast,3.5,%,East Asia,TWN,Asian Development Outlook (ADO) 2020 Update (September 2020)
Tajikistan,2018,7.3,%,Central Asia,TJK,Asian Development Outlook (ADO) 2020 Update (September 2020)
Tajikistan,2019,7.5,%,Central Asia,TJK,Asian Development Outlook (ADO) 2020 Update (September 2020)
Tajikistan,2020 forecast,-0.5,%,Central Asia,TJK,Asian Development Outlook (ADO) 2020 Update (September 2020)
Tajikistan,2021 forecast,6.0,%,Central Asia,TJK,Asian Development Outlook (ADO) 2020 Update (September 2020)
Thailand,2018,4.2,%,Southeast Asia,THA,Asian Development Outlook (ADO) 2020 Update (September 2020)
Thailand,2019,2.4,%,Southeast Asia,THA,Asian Development Outlook (ADO) 2020 Update (September 2020)
Thailand,2020 forecast,-8.0,%,Southeast Asia,THA,Asian Development Outlook (ADO) 2020 Update (September 2020)
Thailand,2021 forecast,4.5,%,Southeast Asia,THA,Asian Development Outlook (ADO) 2020 Update (September 2020)
The Pacific,2018,0.4,%,The Pacific,,Asian Development Outlook (ADO) 2020 Update (September 2020)
The Pacific,2019,3.5,%,The Pacific,,Asian Development Outlook (ADO) 2020 Update (September 2020)
The Pacific,2020 forecast,-6.1,%,The Pacific,,Asian Development Outlook (ADO) 2020 Update (September 2020)
The Pacific,2021 forecast,1.3,%,The Pacific,,Asian Development Outlook (ADO) 2020 Update (September 2020)
Timor-Leste,2018,-0.8,%,Southeast Asia,TLS,Asian Development Outlook (ADO) 2020 Update (September 2020)
Timor-Leste,2019,3.4,%,Southeast Asia,TLS,Asian Development Outlook (ADO) 2020 Update (September 2020)
Timor-Leste,2020 forecast,-6.3,%,Southeast Asia,TLS,Asian Development Outlook (ADO) 2020 Update (September 2020)
Timor-Leste,2021 forecast,3.3,%,Southeast Asia,TLS,Asian Development Outlook (ADO) 2020 Update (September 2020)
Tonga,2018,0.2,%,The Pacific,TON,Asian Development Outlook (ADO) 2020 Update (September 2020)
Tonga,2019,0.7,%,The Pacific,TON,Asian Development Outlook (ADO) 2020 Update (September 2020)
Tonga,2020 forecast,-3.0,%,The Pacific,TON,Asian Development Outlook (ADO) 2020 Update (September 2020)
Tonga,2021 forecast,-8.0,%,The Pacific,TON,Asian Development Outlook (ADO) 2020 Update (September 2020)
Turkmenistan,2018,6.2,%,Central Asia,TKM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Turkmenistan,2019,6.3,%,Central Asia,TKM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Turkmenistan,2020 forecast,3.2,%,Central Asia,TKM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Turkmenistan,2021 forecast,5.8,%,Central Asia,TKM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Tuvalu,2018,4.3,%,The Pacific,TUV,Asian Development Outlook (ADO) 2020 Update (September 2020)
Tuvalu,2019,4.1,%,The Pacific,TUV,Asian Development Outlook (ADO) 2020 Update (September 2020)
